Rank,Company_Name,Headquarters,Sectors,Total_Dataset_Score,Policy_Governance_Score,Transparency_Score,History_Modifier,Record_Count,Years_Tracked,Positive_Effect_Ratio,Has_Modern_Slavery_Policy,Has_Director_Signoff,Has_Board_Oversight,Has_Detailed_Disclosure,Assessment_Date
150,Target,US,Clothing & textile;Supermarkets & grocery,32,25,7,1.1,5,3,0.6,True,True,False,False,2025-07-01
151,Tapestry (Formerly Coach),US,"Clothing & textile;Luggage, backpacks & bags",32,25,7,1.2,4,3,1.0,True,True,True,False,2025-07-01
152,VolkerWessels,Unknown,Unknown,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
153,Warehouse Express Limited,GB,Retail,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
154,Warburtons Limited,GB,Food & beverage,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
155,Goodwin Plc,GB,Machine & machine tools,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
156,Goldman Sachs,US,Finance & banking,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
157,Graham & Brown,Unknown,Unknown,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
158,Ericsson,SE,"Technology: Electronics, Internet and telecom providers",32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
159,Equitix Holdings Limited,GB,Finance & banking,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
160,Grafton Group plc,IE,Wholesale,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
161,Gowling WLG (UK) LLP,GB,Services: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
162,Grant Thornton,GB,"Auditing, consulting & accounting",32,25,7,1.2,6,4,1.0,True,True,False,False,2025-07-01
163,Grainger plc,GB,Real estate: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
164,Actis,GB,Finance & banking,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
165,Acorn Recruitment Ltd,GB,Services: General,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
166,Admiral Group,GB,Insurance,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
167,TalkTalk Telecom Group PLC,GB,"Technology: Electronics, Internet and telecom providers",32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
168,Takeda Development Centre Europe Ltd,GB,Pharmaceutical,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
